"uid","measuredBy","recordedBy","date","plotID","nestedSubplotAreaShrubSapling","nestedSubplotAreaLiana","nestedSubplotAreaOther","nameAccordingToID","remarks"
1,"D01RTF20","D01ANE28",20141111,"HARV_048",100,,,,
2,"D01RTF20","D01ANE28",20141114,"HARV_043",100,,,,
3,"D01RTF20","D01ANE28",20141113,"HARV_033",100,,,,"no transcription errors found"
4,"D01RTF20","D01ANE28",20141112,"HARV_052",100,,,,"no transcription errors found"
5,"D01RTF20","D01ANE28",20141203,"HARV_041",100,,,,
6,"D01RTF20","D01ANE28",20141202,"HARV_042",25,,,,
7,"D01RTF20","D01ANE28",20141120,"HARV_044",100,,,,
8,"D01RTF20","D01ANE28",20141205,"HARV_045",100,,,,
9,"D01RTF20","D01ANE28",20141116,"HARV_046",25,,,,
10,"D01RTF20","D01ANE28",20141121,"HARV_047",25,,,,
11,"D01RTF20","D01ANE28",20141119,"HARV_049",100,,,,
12,"D01RTF20","D01ANE28",20141202,"HARV_051",100,,,,
13,"D01RTF20","D01ANE28",20141118,"HARV_034",10,,,,
14,"D01RTF20","D01ANE28",20141115,"HARV_035",100,,,,
15,"D01RTF20","D01ANE28",20141118,"HARV_037",10,,,,
16,"D01RTF20","D01ANE28",20141117,"HARV_038",100,,,,
17,"D01RTF20","D01ANE28",20141204,"HARV_046",1,,,,
18,"D01RTF20","D01ANE28",20141202,"HARV_039",100,,,,
