"uid","date","plotID","subplotID","nestedSubplotID","tagID","supportingStemTagID","pointID","stemAzimuth","stemDistance","scientificName","identificationQualifier","growthForm","remarks"
1,20150106,"TALL_051",39,1,"2158",,,,,"Rhus copallinum",,"smt","no transcription errors found"
2,20150106,"TALL_051",39,1,"2159",,,,,"Cynoxylon floridum",,"smt",
3,20150106,"TALL_051",39,1,"2175",,,,,"Carya alba",,"smt","dead"
4,20150106,"TALL_051",39,1,"2168",,,,,"Quercus nigra",,"smt","no transcription errors found"
5,20150106,"TALL_051",39,1,"2170",,,,,"Quercus rubra",,"sap",
6,20150106,"TALL_051",39,1,"2162",,,,,"Carya",,"sap",
7,20150106,"TALL_051",39,1,"2164",,,,,"Carya microcarpa",,"sap",
8,20150106,"TALL_051",39,1,"2160",,,,,"Liquidambar styraciflua",,"smt",
9,20150106,"TALL_051",39,1,"2173",,,,,"Liquidambar styraciflua",,"sap",
10,20150106,"TALL_051",39,1,"2161",,,,,"Liquidambar styraciflua",,"smt","no transcription errors found"
11,20150106,"TALL_051",21,4,"2190",,,,,"Liquidambar styraciflua",,"sis",
12,20150106,"TALL_051",21,4,"2193",,,,,"Quercus","cf. species","sap",
13,20150106,"TALL_051",21,4,"2192",,,,,"Quercus","cf. species","sms",
14,20150106,"TALL_051",21,4,"2182",,,,,"Liquidambar styraciflua",,"sap",
15,20150106,"TALL_051",21,4,"2189",,,,,"Quercus","cf. species","sap",
16,20150106,"TALL_051",21,1,"2194",,,,,"Liquidambar styraciflua",,"sap",
17,20150106,"TALL_051",21,1,"1901",,,,,"Oxydendrum arboreum",,"sis",
18,20150106,"TALL_051",39,,"1903",,39,"35.4","17.6","Pinus taeda",,"sbt",
19,20150106,"TALL_051",39,,"1904",,39,"49.4","19.6","Pinus palustris",,"sbt",
20,20150106,"TALL_051",39,,"1906",,39,"62.4","14.9","Pinus taeda",,"sbt","no transcription errors found"
21,20150106,"TALL_051",39,,"1907",,39,"41.8","5.8","Quercus alba",,"sbt","dead"
22,20150106,"TALL_051",39,,"1913",,39,"22","7.4","Quercus","cf. species","sbt",
23,20150106,"TALL_051",21,,"1918",,39,"171.4","13.2","Quercus alba",,"sbt",
24,20150106,"TALL_051",21,,"1919",,41,"207.1","13.5","Pinus","cf. species","sbt","no transcription errors found"
25,20150106,"TALL_051",21,,"1920",,41,"192","15.8","Pinus","cf. species","sbt",
26,20150106,"TALL_051",21,,"1922",,41,"193.7","18.3","Pinus","cf. species","sbt",
27,20150106,"TALL_051",39,3,"2151",,,,,"Rhus copallinum",,"smt","no transcription errors found"
28,20150106,"TALL_051",39,3,"1612",,,,,"Cynoxylon floridum",,"sis",
29,20150106,"TALL_051",39,3,"2152",,,,,"Quercus falcata",,"smt",
30,20150106,"TALL_051",39,3,"1613",,,,,"Rhus copallinum",,"sap","no transcription errors found"
31,20150106,"TALL_051",39,3,"2153",,,,,"Rhus copallinum",,"smt",
32,20150106,"TALL_051",39,3,"1614",,,,,"Carya microcarpa",,"smt",
33,20150106,"TALL_051",39,3,"2154",,,,,"Liquidambar styraciflua",,"sis",
34,20150106,"TALL_051",39,3,"2156",,,,,"Rhus copallinum",,"smt",
35,20150106,"TALL_051",39,3,"1502",,,,,"Rhus copallinum",,"sap","dead"
36,20150106,"TALL_051",39,3,"2157",,,,,"Liquidambar styraciflua",,"sis",
37,20150106,"TALL_050",41,1,"1615",,,,,,,"sap",
38,20150106,"TALL_050",41,1,"1685",,,,,,,"sap",
39,20150106,"TALL_050",41,1,"1681",,,,,,,"sap",
40,20150106,"TALL_050",41,1,"1627",,,,,,,"sap","no transcription errors found"
41,20150106,"TALL_050",41,1,"1616",,,,,,,"sap",
42,20150106,"TALL_050",41,1,"1617",,,,,,,"sap",
43,20150106,"TALL_050",41,1,"1618",,,,,,,"sap",
44,20150106,"TALL_050",41,1,"165",,,,,,,"sap",
45,20150106,"TALL_050",41,1,"1634",,,,,,,"sap",
46,20150106,"TALL_050",41,1,"1649",,,,,,,"sms",
47,20150106,"TALL_050",41,1,"1660",,,,,,,"sms",
48,20150106,"TALL_050",41,1,"1666",,,,,,,"sap",
49,20150106,"TALL_050",41,1,"1661",,,,,,,"sap",
50,20150106,"TALL_050",41,1,"1667",,,,,,,"sap","no transcription errors found"
51,20150106,"TALL_050",41,1,"1665",,,,,,,"sap",
52,20150106,"TALL_050",41,1,"1669",,,,,,,"sap",
53,20150106,"TALL_050",41,1,"1674",,,,,,,"sms",
54,20150106,"TALL_050",41,1,"1668",,,,,,,"sap",
55,20150106,"TALL_050",41,1,"1675",,,,,"Liquidambar styraciflua",,"sms",
56,20150106,"TALL_050",41,1,"1676",,,,,,,"sap",
57,20150106,"TALL_050",41,1,"1680",,,,,,,"sap",
58,20150106,"TALL_050",41,4,"1702",,,,,,,"sap",
59,20150106,"TALL_050",41,4,"1700",,,,,,,"sms",
60,20150106,"TALL_050",41,4,"1699",,,,,,,"sap","no transcription errors found"
61,20150106,"TALL_050",41,4,"1695",,,,,"Quercus","cf. genus","smt",
62,20150106,"TALL_050",41,4,"1696",,,,,,,"sap",
63,20150106,"TALL_050",41,4,"1697",,,,,,,"sms",
64,20150106,"TALL_050",41,4,"1686",,,,,"Quercus","cf. genus","smt",
65,20150106,"TALL_050",41,4,"1703",,,,,,,"sms",
66,20150106,"TALL_050",41,4,"1704",,,,,,,"sap",
67,20150106,"TALL_050",41,4,"1705",,,,,,,"sap",
68,20150106,"TALL_050",41,4,"1706",,,,,,,"sap",
69,20150106,"TALL_050",41,4,"1707",,,,,,,"sap",
70,20150106,"TALL_050",21,4,"1712",,,,,,,"sms","no transcription errors found"
71,20150106,"TALL_050",21,4,"1711",,,,,,,"sap",
72,20150106,"TALL_050",21,4,"1709",,,,,,,"sms",
73,20150106,"TALL_050",21,4,"1708",,,,,"Vaccinium arboreum",,"sap","no transcription errors found"
74,20150106,"TALL_050",21,4,"1726",,,,,"Vaccinium arboreum",,"sap",
75,20150106,"TALL_050",21,4,"1725",,,,,"Oxydendrum arboreum",,"sap",
76,20150106,"TALL_050",21,4,"1731",,,,,"Vaccinium arboreum",,"sms",
77,20150106,"TALL_050",21,4,"1724",,,,,"Vaccinium arboreum",,"sms",
78,20150106,"TALL_050",21,4,"1729",,,,,"Vaccinium arboreum",,"sap",
79,20150106,"TALL_050",21,4,"1727",,,,,"Vaccinium arboreum",,"sap",
80,20150106,"TALL_050",21,4,"1728",,,,,"Vaccinium arboreum",,"sap","no transcription errors found"
81,20150106,"TALL_050",21,4,"1721",,,,,"Vaccinium arboreum",,"sap","no transcription errors found"
82,20150106,"TALL_050",21,4,"1722",,,,,"Vaccinium arboreum",,"sap",
83,20150106,"TALL_050",21,4,"1723",,,,,"Oxydendrum arboreum",,"sms",
84,20150106,"TALL_050",21,4,"1720",,,,,"Oxydendrum arboreum",,"sms",
85,20150106,"TALL_050",21,1,"1732",,,,,"Oxydendrum arboreum","cf. species","sis",
86,20150106,"TALL_050",21,1,"1739",,,,,"Vaccinium arboreum",,"sis",
87,20150106,"TALL_050",21,1,"1740",,,,,"Vaccinium arboreum",,"sap","no transcription errors found"
88,20150106,"TALL_050",21,1,"1741",,,,,"Cynoxylon floridum",,"sis",
89,20150106,"TALL_050",21,1,"1742",,,,,"Vaccinium arboreum",,"sap",
90,20150106,"TALL_050",21,1,"1743",,,,,"Vaccinium arboreum",,"sms","no transcription errors found"
91,20150106,"TALL_050",21,1,"1744",,,,,"Vaccinium arboreum",,"sap",
93,20150106,"TALL_050",21,1,"1747",,,,,"Vitis rotundifolia",,"sap",
94,20150106,"TALL_050",21,1,"1748",,,,,"Vaccinium arboreum",,"sms","no transcription errors found"
95,20150106,"TALL_050",21,1,"1749",,,,,"Rhus copallinum",,"sap",
96,20150106,"TALL_050",21,1,"1750",,,,,"Vaccinium arboreum",,"sap",
97,20150106,"TALL_050",21,1,"1751",,,,,"Vaccinium arboreum",,"sap",
98,20150106,"TALL_050",41,,"1752",,43,"302.5","7.2","Pinus palustris",,"sbt",
99,20150106,"TALL_050",41,,"1753",,43,"319.9","5.6","Pinus palustris",,"sbt","no transcription errros found"
100,20150106,"TALL_050",41,,"1754",,43,"331.3","7.1","Pinus palustris",,"sbt","no transcription errors found"
101,20150106,"TALL_050",41,,"1755",,43,"359.7","9","Pinus palustris",,"sbt",
102,20150106,"TALL_050",41,,"1756",,43,"332.8","13.4","Pinus palustris",,"sbt",
103,20150106,"TALL_050",41,,"1757",,43,"339","14.7","Pinus palustris",,"sbt",
104,20150106,"TALL_050",41,,"1758",,43,"324.3","14.6","Pinus palustris",,"sbt",
105,20150106,"TALL_050",41,,"1797",,43,"319.3","14.7","Pinus palustris",,"sbt",
106,20150106,"TALL_050",41,,"1798",,43,"317.9","15.2","Pinus palustris",,"sbt",
107,20150106,"TALL_050",41,,"1799",,43,"308.7","19.3","Pinus palustris",,"sbt",
108,20150106,"TALL_050",41,,"2101",,43,"292","14.5","Pinus palustris",,"sbt","no transcription errors found"
109,20150106,"TALL_050",41,,"2102",,41,"359.8","9.1","Pinus palustris",,"sbt","No error in data transcription;No error in stemAzimuth transcription"
110,20150106,"TALL_050",41,,"2103",,41,"8.8","17.4","Pinus palustris",,"sbt","no transcription errors found"
111,20150106,"TALL_050",41,,"2104",,41,"2.3","19.8","Pinus palustris",,"sbt",
112,20150106,"TALL_050",41,,"2105",,41,"19.3","19","Pinus palustris",,"sbt","no transcription errors found"
113,20150106,"TALL_050",21,,"2106",,21,"44","6","Pinus palustris",,"sbt",
114,20150106,"TALL_050",21,,"2107",,21,"37.2","9.5","Pinus palustris",,"sbt",
115,20150106,"TALL_050",21,,"2108",,21,"22.2","12.1","Pinus palustris",,"sbt",
116,20150106,"TALL_050",21,,"2109",,21,"41","13.2","Pinus palustris",,"sbt","no transcription errors found"
117,20150106,"TALL_050",21,,"2110",,21,"48.2","15.6","Pinus palustris",,"sbt",
118,20150106,"TALL_050",21,,"2113",,21,"81.1","15.2","Pinus palustris",,"sbt",
119,20150106,"TALL_050",21,,"2114",,21,"56.3","18.9","Pinus palustris",,"sbt",
120,20150106,"TALL_050",21,,"2116",,21,"38.8","18.4","Pinus palustris",,"sbt","no transcription errors found"
121,20150106,"TALL_050",21,,"2117",,21,"31.7","15.7","Pinus palustris",,"sbt",
122,20150106,"TALL_050",21,,"2118",,21,"16.4","17.2","Pinus palustris",,"sbt",
123,20150106,"TALL_050",21,,"2120",,21,"16.4","17.8","Pinus palustris",,"sbt",
124,20150106,"TALL_050",21,,"2140",,39,"145.3","2.9","Pinus palustris",,"sbt","no transcription errors found"
125,20150106,"TALL_050",21,,"2145",,41,"220.6","4.6","Pinus palustris",,"sbt",
126,20150106,"TALL_050",21,,"2146",,41,"231.5","2.3","Pinus palustris",,"sbt","dead"
127,20150106,"TALL_050",21,,"2149",,41,"265.7","4.1","Pinus palustris",,"sbt",
128,20150106,"TALL_050",21,,"2150",,41,"264.5","5.6","Pinus palustris",,"sbt",
129,20150107,"TALL_061",21,1,"2579",,,,,"Vaccinium arboreum",,"sap",
130,20150107,"TALL_061",21,1,"2580",,,,,"Vaccinium arboreum",,"sap","no transcription errors found"
131,20150107,"TALL_061",21,1,"2581",,,,,"Vaccinium arboreum",,"sap",
132,20150107,"TALL_061",21,1,"2584",,,,,"Rhus copallinum",,"sap",
133,20150107,"TALL_061",21,1,"2585",,,,,"Rhus copallinum",,"sap","no transcription errors found"
134,20150107,"TALL_061",21,1,"2586",,,,,"Vaccinium arboreum",,"sap",
135,20150107,"TALL_061",21,1,"2589",,,,,"Vaccinium arboreum",,"sap",
136,20150107,"TALL_061",21,1,"2590",,,,,"Vaccinium arboreum",,"sms",
137,20150107,"TALL_061",21,1,"2591",,,,,"Vaccinium arboreum",,"sms",
138,20150107,"TALL_061",21,1,"2195",,,,,"Vaccinium arboreum",,"sms",
139,20150107,"TALL_061",21,1,"2196",,,,,"Vaccinium arboreum",,"sms",
140,20150107,"TALL_061",21,,"2197",,21,"80.1","5.9","Pinus","cf. species","sbt","dead, no transcription errors found"
141,20150107,"TALL_061",21,,"2198",,21,"80","9.4","Pinus palustris",,"sbt",
142,20150107,"TALL_061",21,,"2199",,21,"57.4","7.7","Pinus taeda",,"sbt",
