"uid","measuredBy","recordedBy","date","plotID","nestedSubplotAreaShrubSapling","nestedSubplotAreaLiana","nestedSubplotAreaOther","nameAccordingToID","remarks"
1,"D02AFL01","D02DVF22",20141113,"JERC_047",25,,,,
2,"D02AFL01","D02DVF22",20141114,"JERC_047",25,,,,
3,"D02AFL01","D02DVF22",20141202,"JERC_060",,,,,
4,"D02AFL01","D02DVF22",20141203,"JERC_060",,,,,
5,"D02AFL01","D02DVF22",20141202,"JERC_051",100,,,,
6,"D02AFL01","D02DVF22",20141205,"JERC_052",100,,,,
7,"D02AFL01","D02DVF22",20141205,"JERC_053",100,,,,
8,"D02AFL01","D02DVF22",20141112,"JERC_054",100,,,,
9,"D02AFL01","D02DVF22",20141113,"JERC_054",100,,,,
10,"D02AFL01","D02DVF22",20141205,"JERC_055",25,,,,
11,"D02AFL01","D02DVF22",20141203,"JERC_059",100,,,,
12,"D02AFL01","D02DVF22",20141106,"JERC_056",25,,,,
13,"D02AFL01","D02DVF22",20141107,"JERC_056",25,,,,
14,"D02AFL01","D02DVF22",20141110,"JERC_057",25,,,,
15,"D02AFL01","D02DVF22",20141111,"JERC_057",25,,,,
16,"D02AFL01","D02DVF22",20141204,"JERC_061",,,,,
17,"D02AFL01","D02DVF22",20141118,"JERC_062",100,,,,
18,"D02AFL01","D02DVF22",20141203,"JERC_063",100,,,,
19,"D02AFL01","D02DVF22",20141204,"JERC_063",100,,,,
20,"D02AFL01","D02DVF22",20141118,"JERC_064",100,,,,
21,"D02AFL01","D02DVF22",20141119,"JERC_064",100,,,,
22,"D02AFL01","D02DVF22",20141212,"JERC_065",,,,,
23,"D02AFL01","D02DVF22",20141119,"JERC_066",,,,,
24,"D02AFL01","D02DVF22",20141203,"JERC_048",100,,,,
25,"D02AFL01","D02DVF22",20141204,"JERC_049",,,,,
