"","uid","date","plotID","subplotID","nestedSubplotID","scientificName","identificationQualifier","growthForm","numberOfLeaves","maxCanopyDiameter","ninetyCanopyDiameter","height","basalStemDiameter","avLengthOfLeaf","numberOfPads","remarks","plot_ID","Field1"
"2712",1331,20141009,"OSBS_026",21,NA,"Serenoa repens","","plm",7,0.85,0.7,0.54,NA,NA,NA,"no transcription errors",NA,""
"2713",1332,20141009,"OSBS_026",21,NA,"Serenoa repens","","plm",4,0.29,0.26,0.2,NA,NA,NA,"",NA,""
"2714",1333,20141009,"OSBS_026",21,NA,"Opuntia humifusa","","cac",NA,NA,NA,NA,NA,NA,5,"",NA,""
"2715",1334,20141009,"OSBS_026",21,NA,"Opuntia humifusa","","cac",NA,NA,NA,NA,NA,NA,1,"",NA,""
"2716",1335,20141009,"OSBS_026",21,NA,"Opuntia humifusa","","cac",NA,NA,NA,NA,NA,NA,1,"",NA,""
"2717",1336,20141009,"OSBS_026",21,NA,"Opuntia humifusa","","cac",NA,NA,NA,NA,NA,NA,3,"",NA,""
"2718",1337,20141009,"OSBS_026",21,NA,"Opuntia humifusa","","cac",NA,NA,NA,NA,NA,NA,4,"",NA,""
"2719",1338,20141009,"OSBS_026",21,NA,"Opuntia humifusa","","cac",NA,NA,NA,NA,NA,NA,6,"",NA,""
"2720",1339,20141009,"OSBS_026",21,NA,"Opuntia humifusa","","cac",NA,NA,NA,NA,NA,NA,1,"",NA,""
"2721",1340,20141009,"OSBS_026",21,NA,"Opuntia humifusa","","cac",NA,NA,NA,NA,NA,NA,5,"no transcription errors",NA,""
"2722",1341,20141009,"OSBS_026",23,NA,"Opuntia humifusa","","cac",NA,NA,NA,NA,NA,NA,9,"",NA,""
"2723",1342,20141009,"OSBS_026",23,NA,"Opuntia humifusa","","cac",NA,NA,NA,NA,NA,NA,7,"",NA,""
"2724",1343,20141009,"OSBS_026",23,NA,"Pteridium aquilinum","","frn",NA,NA,NA,NA,0.3,NA,NA,"",NA,""
"2725",1344,20141009,"OSBS_026",23,NA,"Pteridium aquilinum","","frn",NA,NA,NA,NA,0.31,NA,NA,"",NA,""
"2726",1345,20141009,"OSBS_026",23,NA,"Pteridium aquilinum","","frn",NA,NA,NA,NA,0.2,NA,NA,"",NA,""
"2727",1346,20141009,"OSBS_026",23,NA,"Pteridium aquilinum","","frn",NA,NA,NA,NA,0.26,NA,NA,"",NA,""
"2728",1347,20141009,"OSBS_026",23,NA,"Pteridium aquilinum","","frn",NA,NA,NA,NA,0.15,NA,NA,"",NA,""
"2729",1348,20141009,"OSBS_026",23,NA,"Opuntia humifusa","","cac",NA,NA,NA,NA,NA,NA,1,"",NA,""
