"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","growthform","stemdiameter","templateSize","springLength"
"D17","SOAP","SOAP_031",NA,57,168.2,6.2,"PIPO","NEON.PLA.D17.SOAP.03472","single bole tree",87.2,"lg","long_0.31"
"D17","SOAP","SOAP_031",NA,21,16,7.4,"QUKE","NEON.PLA.D17.SOAP.03523","single bole tree",50.7,"lg","long_0.31"
"D17","SOAP","SOAP_031",NA,41,348.4,6.5,"CADE27","NEON.PLA.D17.SOAP.03457","single bole tree",43.9,"md","long_0.26"
"D17","SOAP","SOAP_031",NA,41,320.5,8.3,"CADE27","NEON.PLA.D17.SOAP.03458","single bole tree",41.9,"md","long_0.26"
"D17","SOAP","SOAP_031",NA,39,139.7,11.6,"CADE27","NEON.PLA.D17.SOAP.03511","single bole tree",39.8,"md","long_0.26"
"D17","SOAP","SOAP_031",NA,39,105.4,12.8,"PIPO","NEON.PLA.D17.SOAP.03515","single bole tree",36.2,"md","long_0.26"
"D17","SOAP","SOAP_031",NA,39,137.1,16.8,"PIPO","NEON.PLA.D17.SOAP.03512","single bole tree",33.4,"md","long_0.26"
"D17","SOAP","SOAP_031",NA,NA,NA,NA,"PIPO","NEON.PLA.D17.SOAP.03502","single bole tree",31.3,"md","long_0.26"
"D17","SOAP","SOAP_043",NA,25,349.3,9.6,"PIPO","NEON.PLA.D17.SOAP.02560","single bole tree",78,"lg","long_0.31"
"D17","SOAP","SOAP_043",NA,49,189.3,6.1,"PIPO","NEON.PLA.D17.SOAP.02630","multi-bole tree",41.2,"md","long_0.26"
"D17","SOAP","SOAP_043",NA,49,124.9,9.5,"CADE27","NEON.PLA.D17.SOAP.02615","single bole tree",39.7,"md","long_0.26"
"D17","SOAP","SOAP_043",NA,23,28.1,8.6,"QUKE","NEON.PLA.D17.SOAP.02710","multi-bole tree",38,"md","long_0.26"
"D17","SOAP","SOAP_043",NA,33,273.1,7.6,"QUKE","NEON.PLA.D17.SOAP.02701","single bole tree",26.6,"md","long_0.26"
"D17","SOAP","SOAP_043",NA,33,322.5,5.7,"QUKE","NEON.PLA.D17.SOAP.02592","single bole tree",25,"md","long_0.26"
