"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","growthform","stemdiameter","agb","addDBH","bandLength","springSize"
"D16","WREF","WREF_070",21,39,120.3,14.4,"TSHE","NEON.PLA.D16.WREF.04104","sbt",79.9,4173.4,7.5,275,"127mm"
"D16","WREF","WREF_070",21,23,278.6,9.6,"TSHE","NEON.PLA.D16.WREF.04126","sbt",71.9,3182.4,7.5,250,"127mm"
"D16","WREF","WREF_070",21,39,96.9,12,"TSHE","NEON.PLA.D16.WREF.04901","sbt",59.8,1982,7.5,212,"127mm"
"D16","WREF","WREF_070",21,23,337.9,6.6,"PSMEM","NEON.PLA.D16.WREF.04087","sbt",56.5,1926.8,7.5,201,"127mm"
"D16","WREF","WREF_071",23,33,221,12.3,"PSMEM","NEON.PLA.D16.WREF.02044","sbt",58.5,2100.7,7.5,208,"127mm"
"D16","WREF","WREF_072",39,57,114.7,3,"TSHE","NEON.PLA.D16.WREF.02178","sbt",78.4,3975,7.5,270,"127mm"
"D16","WREF","WREF_072",41,61,203.9,10.3,"TSHE","NEON.PLA.D16.WREF.04601","sbt",66.9,2644.3,7.5,234,"127mm"
"D16","WREF","WREF_072",41,61,202.3,7.6,"TSHE","NEON.PLA.D16.WREF.04603","sbt",61.5,2130,7.5,217,"127mm"
"D16","WREF","WREF_073",23,25,326.1,3.7,"PSMEM","NEON.PLA.D16.WREF.05774","sbt",55.4,1834.9,7.5,198,"127mm"
"D16","WREF","WREF_073",23,41,165.1,2.1,"TSHE","NEON.PLA.D16.WREF.04411","sbt",55.2,1613.5,7.5,197,"127mm"
"D16","WREF","WREF_073",23,43,181.7,10.1,"PSMEM","NEON.PLA.D16.WREF.05763","sbt",46.6,1193.7,4,159,"76mm"
"D16","WREF","WREF_073",23,25,303.8,7.8,"PSMEM","NEON.PLA.D16.WREF.05720","sbt",41.8,911.1,4,144,"76mm"
"D16","WREF","WREF_073",23,23,68.7,5.1,"TSHE","NEON.PLA.D16.WREF.04418","sbt",40.8,742,4,141,"76mm"
"D16","WREF","WREF_073",23,23,4.6,9.9,"PSMEM","NEON.PLA.D16.WREF.04413","sbt",40.7,852.7,4,141,"76mm"
"D16","WREF","WREF_073",23,25,274.3,9.7,"PSMEM","NEON.PLA.D16.WREF.05778","sbt",39.4,786.6,4,137,"76mm"
"D16","WREF","WREF_073",23,41,121.3,4.2,"PSMEM","NEON.PLA.D16.WREF.04409","sbt",38,719,4,132,"76mm"
"D16","WREF","WREF_073",23,43,221.6,6.7,"PSMEM","NEON.PLA.D16.WREF.05737","sbt",37.5,695.7,4,131,"76mm"
"D16","WREF","WREF_073",23,43,256.6,5.9,"PSMEM","NEON.PLA.D16.WREF.05748","sbt",36.5,650.5,4,128,"76mm"
"D16","WREF","WREF_073",23,23,17.7,18.5,"PSMEM","NEON.PLA.D16.WREF.04408","sbt",35.6,611.4,4,125,"76mm"
"D16","WREF","WREF_073",23,23,29.2,15.9,"PSMEM","NEON.PLA.D16.WREF.04405","sbt",33.8,537.4,4,119,"76mm"
"D16","WREF","WREF_073",23,23,51.3,10.9,"PSMEM","NEON.PLA.D16.WREF.05718","sbt",33.8,537.4,4,119,"76mm"
"D16","WREF","WREF_073",23,23,24.5,6.5,"TSHE","NEON.PLA.D16.WREF.04414","sbt",32.5,413.6,4,115,"76mm"
"D16","WREF","WREF_073",23,25,328.4,6,"TSHE","NEON.PLA.D16.WREF.05771","sbt",32.2,403.9,4,114,"76mm"
"D16","WREF","WREF_073",23,41,94.5,9.2,"TSHE","NEON.PLA.D16.WREF.04406","sbt",31.8,391.1,4,113,"76mm"
"D16","WREF","WREF_073",23,23,63,9.2,"PSMEM","NEON.PLA.D16.WREF.05714","sbt",30.3,409.6,4,108,"76mm"
"D16","WREF","WREF_073",23,23,64.9,17.4,"PSMEM","NEON.PLA.D16.WREF.05769","sbt",29.8,393,4,107,"76mm"
"D16","WREF","WREF_073",23,43,258.6,8.9,"TSHE","NEON.PLA.D16.WREF.05755","sbt",28.4,292.5,4,102,"76mm"
"D16","WREF","WREF_073",23,25,275.1,7.2,"TSHE","NEON.PLA.D16.WREF.05781","sbt",28.1,284.6,4,101,"76mm"
"D16","WREF","WREF_073",23,43,198.9,12.4,"TSHE","NEON.PLA.D16.WREF.05761","sbt",26.4,242.4,4,96,"76mm"
"D16","WREF","WREF_073",23,25,305.2,10.9,"TSHE","NEON.PLA.D16.WREF.05758","sbt",25.1,212.9,4,92,"76mm"
"D16","WREF","WREF_073",39,57,128.2,9.7,"THPL","NEON.PLA.D16.WREF.04456","sbt",55,1011.6,7.5,197,"127mm"
"D16","WREF","WREF_073",39,57,142.1,8.8,"PSMEM","NEON.PLA.D16.WREF.04438","sbt",49.9,1415,4,170,"76mm"
"D16","WREF","WREF_073",39,41,338.2,8.8,"PSMEM","NEON.PLA.D16.WREF.04424","mbt",47.7,1265,4,163,"76mm"
"D16","WREF","WREF_073",39,57,147.2,12.4,"PSMEM","NEON.PLA.D16.WREF.04473","sbt",44,1035,4,151,"76mm"
"D16","WREF","WREF_073",39,39,75.4,12,"PSMEM","NEON.PLA.D16.WREF.04420","sbt",43.9,1029.2,4,151,"76mm"
"D16","WREF","WREF_073",39,59,246.6,6.9,"THPL","NEON.PLA.D16.WREF.04431","sbt",42.8,551.4,4,147,"76mm"
"D16","WREF","WREF_073",39,39,78.4,8.2,"THPL","NEON.PLA.D16.WREF.04464","sbt",40.3,476.7,4,140,"76mm"
"D16","WREF","WREF_073",39,57,93.8,0.9,"PSMEM","NEON.PLA.D16.WREF.04433","sbt",38.5,742.7,4,134,"76mm"
