plotid,subplotid,pointid,stemazimuth,stemdistance,taxonid,individualid,growthform,stemdiameter,remark
SJER_047,39,NA,NA,NA,PISA2,NEON.PLA.D17.SJER.00155,sbt,65.4,
SJER_051,41,NA,NA,NA,PISA2,NEON.PLA.D17.SJER.00272,sbt,63.9,
SJER_046,39,NA,NA,NA,QUDO,NEON.PLA.D17.SJER.00239,sbt,60.9,
SJER_059,21,23,327.9,14.6,PISA2,NEON.PLA.D17.SJER.04115,sbt,60.8,
SJER_050,21,NA,NA,NA,QUDO,NEON.PLA.D17.SJER.00246,sbt,58.1,
SJER_050,39,NA,NA,NA,PISA2,NEON.PLA.D17.SJER.00255,sbt,50.7,
SJER_058,41,59,137.5,16.2,QUWI2,NEON.PLA.D17.SJER.04035,mbt,50.5,
SJER_049,23,NA,NA,NA,PISA2,NEON.PLA.D17.SJER.00233,sbt,48.6,
SJER_058,41,NA,NA,NA,QUWI2,NEON.PLA.D17.SJER.04035A,mbt,48,
SJER_046,39,NA,NA,NA,QUDO,NEON.PLA.D17.SJER.00238,sbt,47.7,
SJER_047,21,NA,NA,NA,PISA2,NEON.PLA.D17.SJER.00289,sbt,47.7,
SJER_049,23,NA,NA,NA,QUWI2,NEON.PLA.D17.SJER.00232,mbt,47.6,contingency
SJER_049,23,NA,NA,NA,PISA2,NEON.PLA.D17.SJER.00234,sbt,46.5,contingency
SJER_050,39,NA,NA,NA,QUDO,NEON.PLA.D17.SJER.00256,sbt,46.2,contingency
SJER_052,23,NA,NA,NA,PISA2,NEON.PLA.D17.SJER.00217,sbt,46,contingency
SJER_053,23,NA,NA,NA,QUDO,NEON.PLA.D17.SJER.00070,sbt,44.4,contingency
SJER_055,21,NA,NA,NA,QUDO,NEON.PLA.D17.SJER.00017,sbt,42.6,contingency
SJER_063,23,NA,NA,NA,QUDO,NEON.PLA.D17.SJER.00071,mbt,41.4,contingency
SJER_058,39,NA,NA,NA,QUWI2,NEON.PLA.D17.SJER.00277,mbt,40.8,contingency
SJER_058,41,NA,NA,NA,QUWI2,NEON.PLA.D17.SJER.00278,mbt,40.7,contingency
SJER_057,39,57,164.4,5.3,QUDO,NEON.PLA.D17.SJER.00040,sbt,40.3,contingency
SJER_058,41,NA,NA,NA,QUWI2,NEON.PLA.D17.SJER.04035C,mbt,39.6,contingency
SJER_051,39,NA,NA,NA,QUWI2,NEON.PLA.D17.SJER.00268,mbt,39,contingency
SJER_058,39,NA,NA,NA,QUDO,NEON.PLA.D17.SJER.00276,sbt,38.5,contingency
SJER_045,39,NA,NA,NA,PISA2,NEON.PLA.D17.SJER.00134,sbt,38,contingency
SJER_058,41,NA,NA,NA,QUWI2,NEON.PLA.D17.SJER.04035D,mbt,35.9,contingency
SJER_063,23,NA,NA,NA,QUDO,NEON.PLA.D17.SJER.00071A,mbt,35.6,contingency
