"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","growthform","stemdiameter","existing_band","addDBH","bandLength","springSize"
"D18/19","BONA","BONA_070","23_400","41",152.6,12.6,"PIMA","NEON.PLA.D19.BONA.00353","single bole tree",15.1,"N",4,60,"76mm"
"D18/19","BONA","BONA_070","23_400","43",196.9,4.8,"PIMA","NEON.PLA.D19.BONA.00343","single bole tree",14.8,"N",4,60,"76mm"
"D18/19","BONA","BONA_070","23_400","33",82.8,9,"PIMA","NEON.PLA.D19.BONA.00348","single bole tree",14.6,"N",4,59,"76mm"
"D18/19","BONA","BONA_070","39_400","41",352,10.1,"LALA","NEON.PLA.D19.BONA.00311","single bole tree",15,"N",4,60,"76mm"
"D18/19","BONA","BONA_070","39_400","57",139.5,3.9,"PIMA","NEON.PLA.D19.BONA.00309","single bole tree",14.9,"N",4,60,"76mm"
"D18/19","BONA","BONA_072","23_400","41",107.4,11.9,"BENE4","NEON.PLA.D19.BONA.00047","single bole tree",24.2,"Y",4,89,"76mm"
"D18/19","BONA","BONA_072","23_400","23",20.4,4.9,"BENE4","NEON.PLA.D19.BONA.00080","single bole tree",20.7,"Y",4,78,"76mm"
"D18/19","BONA","BONA_072","23_400","41",112.5,6.7,"BENE4","NEON.PLA.D19.BONA.00042","single bole tree",20,"Y",4,76,"76mm"
"D18/19","BONA","BONA_072","23_400","41",100,16.1,"BENE4","NEON.PLA.D19.BONA.00050","single bole tree",19.4,"Y",4,74,"76mm"
"D18/19","BONA","BONA_072","23_400","41",145.1,9.4,"BENE4","NEON.PLA.D19.BONA.00044","single bole tree",19,"Y",4,73,"76mm"
"D18/19","BONA","BONA_072","23_400","41",156.7,11.8,"BENE4","NEON.PLA.D19.BONA.02522","single bole tree",18.6,"N",4,71,"76mm"
"D18/19","BONA","BONA_072","23_400","25",323.7,11.6,"BENE4","NEON.PLA.D19.BONA.00059","multi-bole tree",18.6,"Y",4,71,"76mm"
"D18/19","BONA","BONA_072","23_400","41",98,10.7,"BENE4","NEON.PLA.D19.BONA.00046","single bole tree",18.5,"Y",4,71,"76mm"
"D18/19","BONA","BONA_072","23_400","41",177,2.1,"BENE4","NEON.PLA.D19.BONA.00041","single bole tree",18,"Y",4,70,"76mm"
"D18/19","BONA","BONA_072","23_400","23",21.6,6,"BENE4","NEON.PLA.D19.BONA.00082","multi-bole tree",17.5,"Y",4,68,"76mm"
"D18/19","BONA","BONA_072","23_400","23",1,3.8,"BENE4","NEON.PLA.D19.BONA.00081","single bole tree",17.1,"Y",4,67,"76mm"
"D18/19","BONA","BONA_072","23_400","25",323.7,11.6,"BENE4","NEON.PLA.D19.BONA.00059A","multi-bole tree",16.8,"Y",4,66,"76mm"
"D18/19","BONA","BONA_072","23_400","23",27.6,7.7,"PIGL","NEON.PLA.D19.BONA.00084","single bole tree",16.3,"N",4,64,"76mm"
"D18/19","BONA","BONA_072","23_400","25",277.7,7.4,"BENE4","NEON.PLA.D19.BONA.00072","single bole tree",16.1,"N",4,64,"76mm"
"D18/19","BONA","BONA_072","23_400","25",291,2.7,"BENE4","NEON.PLA.D19.BONA.00070","single bole tree",16,"Y",4,63,"76mm"
"D18/19","BONA","BONA_072","23_400","41",138.7,11.6,"BENE4","NEON.PLA.D19.BONA.02523","single bole tree",16,"N",4,63,"76mm"
"D18/19","BONA","BONA_072","23_400","41",145.8,8.8,"BENE4","NEON.PLA.D19.BONA.00043","single bole tree",15.6,"Y",4,62,"76mm"
"D18/19","BONA","BONA_072","23_400","25",329.4,5.1,"BENE4","NEON.PLA.D19.BONA.00067","single bole tree",15.4,"N",4,61,"76mm"
"D18/19","BONA","BONA_072","23_400","23",69.8,6,"BENE4","NEON.PLA.D19.BONA.00076","single bole tree",15.1,"Y",4,60,"76mm"
"D18/19","BONA","BONA_072","23_400","25",346.6,14.5,"BENE4","NEON.PLA.D19.BONA.00056","single bole tree",14.9,"N",4,60,"76mm"
"D18/19","BONA","BONA_072","39_400","41",333.8,8.8,"BENE4","NEON.PLA.D19.BONA.00135","single bole tree",30.6,"Y",4,109,"76mm"
"D18/19","BONA","BONA_072","39_400","41",269.6,9.4,"BENE4","NEON.PLA.D19.BONA.00132","single bole tree",24.8,"Y",4,91,"76mm"
"D18/19","BONA","BONA_072","39_400","57",96.9,6.2,"PIGL","NEON.PLA.D19.BONA.00105","single bole tree",23,"Y",4,85,"76mm"
"D18/19","BONA","BONA_072","39_400","59",217.4,1.8,"BENE4","NEON.PLA.D19.BONA.00141","single bole tree",22.9,"Y",4,85,"76mm"
"D18/19","BONA","BONA_072","39_400","39",13.3,10.7,"BENE4","NEON.PLA.D19.BONA.00116A","multi-bole tree",22.5,"Y",4,84,"76mm"
"D18/19","BONA","BONA_072","39_400","59",231.9,13.3,"BENE4","NEON.PLA.D19.BONA.00149","single bole tree",22,"Y",4,82,"76mm"
"D18/19","BONA","BONA_072","39_400","39",40.9,14,"BENE4","NEON.PLA.D19.BONA.00124","single bole tree",19.9,"Y",4,76,"76mm"
"D18/19","BONA","BONA_072","39_400","41",291.5,5.5,"BENE4","NEON.PLA.D19.BONA.00127","single bole tree",19,"Y",4,73,"76mm"
"D18/19","BONA","BONA_072","39_400","41",314.7,9.1,"BENE4","NEON.PLA.D19.BONA.00133","multi-bole tree",18.9,"Y",4,72,"76mm"
"D18/19","BONA","BONA_072","39_400","41",338.5,5.5,"BENE4","NEON.PLA.D19.BONA.00134","single bole tree",18.7,"Y",4,72,"76mm"
"D18/19","BONA","BONA_072","39_400","59",242.3,12.6,"POTR5","NEON.PLA.D19.BONA.00148","single bole tree",18.5,"Y",4,71,"76mm"
"D18/19","BONA","BONA_072","39_400","59",202,6.7,"BENE4","NEON.PLA.D19.BONA.00139","single bole tree",18.3,"Y",4,71,"76mm"
"D18/19","BONA","BONA_072","39_400","39",74.7,4.2,"BENE4","NEON.PLA.D19.BONA.00109","single bole tree",18.3,"Y",4,71,"76mm"
