"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","tempstemid","growthform","stemdiameter","existing_band","addDBH","bandLength","springSize"
"D10/13","RMNP","RMNP_041","21_400",41,207.3,21.3,"PICOL2","NEON.PLA.D10.RMNP.02404",1,"single bole tree",47.8,"Y",4.5,53,"76mm"
"D10/13","RMNP","RMNP_041","21_400",41,199.8,9.5,"PICOL2","NEON.PLA.D10.RMNP.02406",1,"single bole tree",45.7,"Y",4.5,51,"76mm"
"D10/13","RMNP","RMNP_041","21_400",41,206,14.1,"PICOL2","NEON.PLA.D10.RMNP.02405",1,"single bole tree",43.9,"Y",4.5,49,"76mm"
"D10/13","RMNP","RMNP_041","21_400",41,236.1,10.8,"PICOL2","NEON.PLA.D10.RMNP.02409",1,"single bole tree",43.1,"Y",4.5,48,"76mm"
"D10/13","RMNP","RMNP_041","21_400",31,302.5,8.2,"PICOL","NEON.PLA.D10.RMNP.02426",1,"single bole tree",35.7,"Y",4.5,41,"76mm"
"D10/13","RMNP","RMNP_041","21_400",41,182.3,5.2,"PICOL","NEON.PLA.D10.RMNP.05123",1,"single bole tree",35.6,"Y",4.5,41,"76mm"
"D10/13","RMNP","RMNP_041","21_400",41,243.1,10.9,"PICOL2","NEON.PLA.D10.RMNP.02410",1,"single bole tree",35.5,"Y",4.5,40,"76mm"
"D10/13","RMNP","RMNP_041","21_400",31,324.2,8.3,"PICOL","NEON.PLA.D10.RMNP.02423",1,"single bole tree",34.5,"Y",4.5,39,"76mm"
"D10/13","RMNP","RMNP_041","21_400",31,60.7,7.7,"PICOL2","NEON.PLA.D10.RMNP.02413",1,"single bole tree",34,"Y",4.5,39,"76mm"
"D10/13","RMNP","RMNP_041","21_400",41,255.2,13.9,"PICOL2","NEON.PLA.D10.RMNP.02422",1,"single bole tree",33,"Y",4.5,38,"76mm"
"D10/13","RMNP","RMNP_041","21_400",31,27.8,7.9,"PICOL2","NEON.PLA.D10.RMNP.02417",1,"single bole tree",32.8,"Y",4.5,38,"76mm"
"D10/13","RMNP","RMNP_041","21_400",31,43.9,9.9,"PICOL2","NEON.PLA.D10.RMNP.02414",1,"single bole tree",29.7,"Y",4.5,35,"76mm"
"D10/13","RMNP","RMNP_041","21_400",21,5.3,3.4,"PICOL","NEON.PLA.D10.RMNP.02401",1,"single bole tree",29,"Y",4.5,34,"76mm"
"D10/13","RMNP","RMNP_041","21_400",41,207.9,10,"PICOL2","NEON.PLA.D10.RMNP.02407",1,"single bole tree",28.8,"Y",4.5,34,"76mm"
"D10/13","RMNP","RMNP_041","21_400",41,210.4,8,"PICOL2","NEON.PLA.D10.RMNP.02408",1,"single bole tree",27.9,"Y",4.5,33,"76mm"
"D10/13","RMNP","RMNP_041","21_400",41,257.6,18.7,"PICOL2","NEON.PLA.D10.RMNP.02427",1,"single bole tree",26,"N",4.5,31,"76mm"
"D10/13","RMNP","RMNP_041","23_400",25,278.2,17.6,"PICOL2","NEON.PLA.D10.RMNP.02496",1,"single bole tree",40,"Y",4.5,45,"76mm"
"D10/13","RMNP","RMNP_041","23_400",25,317.2,22.2,"PICOL2","NEON.PLA.D10.RMNP.02502",1,"single bole tree",32.2,"N",4.5,37,"76mm"
"D10/13","RMNP","RMNP_041","23_400",25,273.5,4.3,"PICOL2","NEON.PLA.D10.RMNP.02481",1,"multi-bole tree",31.4,"Y",4.5,36,"76mm"
"D10/13","RMNP","RMNP_041","23_400",25,306.3,20,"PICOL","NEON.PLA.D10.RMNP.02505",1,"single bole tree",30.5,"Y",4.5,35,"76mm"
"D10/13","RMNP","RMNP_041","23_400",25,301.1,16,"PICOL2","NEON.PLA.D10.RMNP.02500",1,"single bole tree",30.4,"Y",4.5,35,"76mm"
"D10/13","RMNP","RMNP_041","23_400",33,115.5,10,"PICOL","NEON.PLA.D10.RMNP.02508",1,"single bole tree",30.1,"Y",4.5,35,"76mm"
"D10/13","RMNP","RMNP_041","23_400",25,298.8,12.8,"PICOL2","NEON.PLA.D10.RMNP.02490",1,"single bole tree",28.3,"Y",4.5,33,"76mm"
"D10/13","RMNP","RMNP_041","23_400",25,295.3,19.5,"PICOL2","NEON.PLA.D10.RMNP.02499",1,"single bole tree",25.4,"N",4.5,30,"76mm"
"D10/13","RMNP","RMNP_041","23_400",25,277.8,11.7,"PICOL2","NEON.PLA.D10.RMNP.02494",1,"single bole tree",24.6,"N",4.5,30,"76mm"
"D10/13","RMNP","RMNP_042","21_400",21,43.8,22,"PICOL2","NEON.PLA.D10.RMNP.02179",1,"single bole tree",41.6,"Y",4.5,47,"76mm"
