"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","tempstemid","growthform","stemdiameter","existing_band","agb","addDBH","bandLength","springSize"
"D16","WREF","WREF_070","21_400",39,120.3,14.4,"TSHE","NEON.PLA.D16.WREF.04104",1,"single bole tree",80.3,"Y",4227.3,7.5,276,"127mm"
"D16","WREF","WREF_070","21_400",23,278.6,9.6,"TSHE","NEON.PLA.D16.WREF.04126",1,"single bole tree",72,"Y",3193.7,7.5,250,"127mm"
"D16","WREF","WREF_070","21_400",39,96.9,12,"TSHE","NEON.PLA.D16.WREF.04901",1,"single bole tree",60.8,"Y",2068.3,7.5,215,"127mm"
"D16","WREF","WREF_070","21_400",23,337.9,6.6,"PSMEM","NEON.PLA.D16.WREF.04087",1,"single bole tree",58.3,"Y",2082.9,7.5,207,"127mm"
"D16","WREF","WREF_071","21_400",21,25.1,6.6,"PSMEM","NEON.PLA.D16.WREF.02061",1,"single bole tree",55.8,"N",1868,7.5,199,"127mm"
"D16","WREF","WREF_071","23_400",23,63.1,1.6,"PSMEM","NEON.PLA.D16.WREF.02044",1,"single bole tree",59.2,"Y",2163.8,7.5,210,"127mm"
"D16","WREF","WREF_072","39_400",57,114.7,3,"TSHE","NEON.PLA.D16.WREF.02178",1,"single bole tree",78.3,"Y",3962,7.5,270,"127mm"
"D16","WREF","WREF_072","41_400",61,203.9,10.3,"TSHE","NEON.PLA.D16.WREF.04601",1,"single bole tree",67.7,"Y",2726.3,7.5,237,"127mm"
"D16","WREF","WREF_072","41_400",61,202.3,7.6,"TSHE","NEON.PLA.D16.WREF.04603",1,"single bole tree",62.2,"Y",2192.9,7.5,219,"127mm"
"D16","WREF","WREF_073","23_400",25,326.1,3.7,"PSMEM","NEON.PLA.D16.WREF.05774",1,"single bole tree",57.8,"Y",2038.8,7.5,206,"127mm"
"D16","WREF","WREF_073","23_400",41,165.1,2.1,"TSHE","NEON.PLA.D16.WREF.04411",1,"single bole tree",56.9,"Y",1744.3,7.5,203,"127mm"
"D16","WREF","WREF_073","23_400",43,181.7,10.1,"PSMEM","NEON.PLA.D16.WREF.05763",1,"single bole tree",48.8,"Y",1338.7,4,166,"76mm"
"D16","WREF","WREF_073","23_400",25,303.8,7.8,"PSMEM","NEON.PLA.D16.WREF.05720",1,"single bole tree",42.9,"Y",971.9,4,148,"76mm"
"D16","WREF","WREF_073","23_400",23,68.7,5.1,"TSHE","NEON.PLA.D16.WREF.04418",1,"single bole tree",42.3,"Y",814.2,4,146,"76mm"
"D16","WREF","WREF_073","23_400",23,4.6,9.9,"PSMEM","NEON.PLA.D16.WREF.04413",1,"single bole tree",42.1,"Y",927.5,4,145,"76mm"
"D16","WREF","WREF_073","23_400",25,274.3,9.7,"PSMEM","NEON.PLA.D16.WREF.05778",1,"single bole tree",41.1,"Y",873.7,4,142,"76mm"
"D16","WREF","WREF_073","23_400",43,221.6,6.7,"PSMEM","NEON.PLA.D16.WREF.05737",1,"single bole tree",39.3,"Y",781.7,4,136,"76mm"
"D16","WREF","WREF_073","23_400",41,121.3,4.2,"PSMEM","NEON.PLA.D16.WREF.04409",1,"single bole tree",38.9,"Y",762,4,135,"76mm"
"D16","WREF","WREF_073","23_400",43,256.6,5.9,"PSMEM","NEON.PLA.D16.WREF.05748",1,"single bole tree",37.4,"Y",691.1,4,130,"76mm"
"D16","WREF","WREF_073","23_400",23,17.7,18.5,"PSMEM","NEON.PLA.D16.WREF.04408",1,"single bole tree",36.1,"Y",632.9,4,126,"76mm"
"D16","WREF","WREF_073","23_400",23,51.3,10.9,"PSMEM","NEON.PLA.D16.WREF.05718",1,"single bole tree",34.2,"Y",553.3,4,120,"76mm"
"D16","WREF","WREF_073","23_400",25,328.4,6,"TSHE","NEON.PLA.D16.WREF.05771",1,"single bole tree",34.1,"Y",468,4,120,"76mm"
"D16","WREF","WREF_073","23_400",23,29.2,15.9,"PSMEM","NEON.PLA.D16.WREF.04405",1,"single bole tree",33.9,"Y",541.4,4,120,"76mm"
"D16","WREF","WREF_073","23_400",41,94.5,9.2,"TSHE","NEON.PLA.D16.WREF.04406",1,"single bole tree",33.4,"Y",443.7,4,118,"76mm"
"D16","WREF","WREF_073","23_400",23,63,9.2,"PSMEM","NEON.PLA.D16.WREF.05714",1,"single bole tree",30.9,"Y",430,4,110,"76mm"
"D16","WREF","WREF_073","23_400",25,275.1,7.2,"TSHE","NEON.PLA.D16.WREF.05781",1,"single bole tree",30.5,"Y",351.3,4,109,"76mm"
"D16","WREF","WREF_073","23_400",23,64.9,17.4,"PSMEM","NEON.PLA.D16.WREF.05769",1,"single bole tree",30.2,"Y",406.2,4,108,"76mm"
"D16","WREF","WREF_073","23_400",43,258.6,8.9,"TSHE","NEON.PLA.D16.WREF.05755",1,"single bole tree",30.1,"Y",339.6,4,108,"76mm"
"D16","WREF","WREF_073","23_400",25,305.2,10.9,"TSHE","NEON.PLA.D16.WREF.05758",1,"single bole tree",27,"Y",256.9,4,98,"76mm"
"D16","WREF","WREF_073","23_400",43,198.9,12.4,"TSHE","NEON.PLA.D16.WREF.05761",1,"single bole tree",26.7,"Y",249.6,4,97,"76mm"
"D16","WREF","WREF_073","23_400",43,192,7.3,"TSHE","NEON.PLA.D16.WREF.05733",1,"single bole tree",25.6,"N",224,4,93,"76mm"
"D16","WREF","WREF_073","23_400",25,349.8,0.3,"TSHE","NEON.PLA.D16.WREF.05773",1,"single bole tree",24.2,"N",193.9,4,89,"76mm"
"D16","WREF","WREF_073","39_400",59,185.5,1.3,"PSMEM","NEON.PLA.D16.WREF.08084",1,"single bole tree",61,"N",2331,7.5,216,"127mm"
