domainid,siteid,plotid,subplotid,pointid,stemazimuth,stemdistance,taxonid,individualid,growthform,stemdiameter,existing_band,addDBH,bandLength,springSize
D12,YELL,YELL_043,21_400,39,145.2,19.6,POTR5,NEON.PLA.D12.YELL.01994,single bole tree,45.5,Y,4,156,76mm
D12,YELL,YELL_043,41_400,43,282.1,4.1,POTR5,NEON.PLA.D12.YELL.01987,single bole tree,48.7,Y,4,166,76mm
D12,YELL,YELL_044,23_400,25,297.5,13.5,PSME,NEON.PLA.D12.YELL.01495,single bole tree,38.5,Y,4,134,76mm
D12,YELL,YELL_044,23_400,25,277.4,17.6,PSME,NEON.PLA.D12.YELL.01198,multi-bole tree,30.8,N,4,110,76mm
D12,YELL,YELL_044,39_400,39,19,2.4,PSME,NEON.PLA.D12.YELL.01259,single bole tree,52.2,Y,7.5,188,127mm
D12,YELL,YELL_044,39_400,57,163.1,16.7,PSME,NEON.PLA.D12.YELL.01254,single bole tree,48,Y,4,164,76mm
D12,YELL,YELL_044,39_400,57,179.5,12.3,PSME,NEON.PLA.D12.YELL.01258,single bole tree,42,Y,4,145,76mm
D12,YELL,YELL_044,39_400,59,211.3,19.8,PSME,NEON.PLA.D12.YELL.01252,single bole tree,35.4,Y,4,124,76mm
D12,YELL,YELL_045,21_400,41,267.3,12,PSME,NEON.PLA.D12.YELL.01538,single bole tree,53,Y,7.5,190,127mm
D12,YELL,YELL_045,21_400,41,234.8,15.8,PSME,NEON.PLA.D12.YELL.01539,single bole tree,44.2,N,4,152,76mm
D12,YELL,YELL_045,23_400,43,267.3,9,PSME,NEON.PLA.D12.YELL.01603B,multi-bole tree,45.6,N,4,156,76mm
D12,YELL,YELL_045,23_400,43,267.3,9,PSME,NEON.PLA.D12.YELL.01603,multi-bole tree,50.3,N,7.5,182,127mm
D12,YELL,YELL_045,23_400,43,213.7,10.1,PSME,NEON.PLA.D12.YELL.01530,single bole tree,43,Y,4,148,76mm
D12,YELL,YELL_045,23_400,43,264.4,7.5,PSME,NEON.PLA.D12.YELL.01604,single bole tree,32.7,Y,4,116,76mm
D12,YELL,YELL_046,39_400,39,43.3,17.2,PSME,NEON.PLA.D12.YELL.02757,single bole tree,60.7,Y,7.5,215,127mm
D12,YELL,YELL_046,39_400,41,345,17.5,PSME,NEON.PLA.D12.YELL.02758,single bole tree,51.5,Y,7.5,186,127mm
D12,YELL,YELL_046,39_400,39,66.4,4.9,PSME,NEON.PLA.D12.YELL.02773,single bole tree,51.3,N,7.5,185,127mm
D12,YELL,YELL_046,39_400,39,6.3,16.2,PSME,NEON.PLA.D12.YELL.02769,single bole tree,49,Y,4,167,76mm
D12,YELL,YELL_046,39_400,39,2.3,19.1,PSME,NEON.PLA.D12.YELL.02768,single bole tree,36.5,N,4,128,76mm
D12,YELL,YELL_046,41_400,41,1.4,9.1,PSME,NEON.PLA.D12.YELL.02756,single bole tree,35,Y,4,123,76mm
D12,YELL,YELL_047,21_400,41,186.9,0.17,PICO,NEON.PLA.D12.YELL.00823,single bole tree,32.4,N,4,115,76mm
D12,YELL,YELL_047,23_400,23,73.7,5,PICO,NEON.PLA.D12.YELL.00836,single bole tree,42.9,Y,4,148,76mm
D12,YELL,YELL_047,23_400,23,50,10.2,PICO,NEON.PLA.D12.YELL.00837,single bole tree,39.8,Y,4,138,76mm
D12,YELL,YELL_047,23_400,23,14.8,13.9,PICO,NEON.PLA.D12.YELL.00840,single bole tree,32.5,N,4,115,76mm
D12,YELL,YELL_047,23_400,41,140.4,6.7,PICO,NEON.PLA.D12.YELL.00843,single bole tree,31.3,N,4,111,76mm
D12,YELL,YELL_047,23_400,25,326.4,9.3,PICO,NEON.PLA.D12.YELL.00847,single bole tree,30.8,N,4,110,76mm
D12,YELL,YELL_048,21_400,39,167,11.7,PSME,NEON.PLA.D12.YELL.01040,single bole tree,57.1,Y,7.5,203,127mm
D12,YELL,YELL_048,23_400,23,62.9,7.9,PSME,NEON.PLA.D12.YELL.01077,single bole tree,56.4,Y,7.5,201,127mm
D12,YELL,YELL_050,23_400,41,97,17.3,PSME,NEON.PLA.D12.YELL.01959,single bole tree,60.4,Y,7.5,214,127mm
D12,YELL,YELL_052,21_400,41,265.6,13.8,PSME,NEON.PLA.D12.YELL.01205,single bole tree,63.8,N,7.5,224,127mm
D12,YELL,YELL_053,23_400,25,345.5,8.7,PSME,NEON.PLA.D12.YELL.03000,single bole tree,56.3,Y,7.5,201,127mm
D12,YELL,YELL_057,21_400,41,236.9,13.3,PSME,NEON.PLA.D12.YELL.03021,single bole tree,58.9,Y,7.5,209,127mm
D12,YELL,YELL_059,21_400,23,339.3,7.5,PSME,NEON.PLA.D12.YELL.01839,single bole tree,54.3,Y,7.5,195,127mm
D12,YELL,YELL_059,23_400,25,333.9,7.3,PSME,NEON.PLA.D12.YELL.01850,single bole tree,93.9,Y,7.5,319,127mm
D12,YELL,YELL_059,23_400,23,78.9,16.4,PSME,NEON.PLA.D12.YELL.01852,single bole tree,57.5,Y,7.5,205,127mm
D12,YELL,YELL_059,23_400,23,31,13.1,PSME,NEON.PLA.D12.YELL.01844,single bole tree,53.9,Y,7.5,193,127mm
D12,YELL,YELL_061,41_400,43,328.2,6.7,PSME,NEON.PLA.D12.YELL.01780,single bole tree,74,Y,7.5,256,127mm
D12,YELL,YELL_061,41_400,25,359.8,27,PSME,NEON.PLA.D12.YELL.01782,single bole tree,56.6,Y,7.5,202,127mm
