"domainid","siteid","plotid","subplotid","pointid","stemazimuth","stemdistance","taxonid","individualid","growthform","stemdiameter","agb","addDBH","bandLength","springSize"
"D19","BONA","BONA_093",39,59,192.8,2.9,"PIMA","NEON.PLA.D19.BONA.04576","sbt",32.3,378.9,4,114,"76mm"
"D19","BONA","BONA_093",39,39,33,8,"BENE4","NEON.PLA.D19.BONA.04570","mbt",28.1,412.7,4,101,"76mm"
"D19","BONA","BONA_093",39,59,205.6,11,"PIMA","NEON.PLA.D19.BONA.04574","sbt",27,249.8,4,98,"76mm"
"D19","BONA","BONA_093",39,39,30.9,8.1,"BENE4","NEON.PLA.D19.BONA.04570A","mbt",26.2,350.2,4,95,"76mm"
"D19","BONA","BONA_093",39,41,329.2,4.1,"PIMA","NEON.PLA.D19.BONA.03597","sbt",24.6,201.2,4,90,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00135","single bole tree",29.3,379.7,4,105,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00106","single bole tree",24,234.6,4,88,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00047","single bole tree",23.4,220.7,4,87,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00132","single bole tree",23,211.7,4,85,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00105","single bole tree",21.8,186,4,82,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00141","single bole tree",21.4,177.9,4,80,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00149","single bole tree",20.6,162.2,4,78,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00080","single bole tree",20.4,158.5,4,77,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00042","single bole tree",19.5,142.1,4,74,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00124","single bole tree",19,133.5,4,73,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00133","multi-bole tree",18.9,131.8,4,72,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00044","single bole tree",18.8,130.1,4,72,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00134","single bole tree",18.3,121.9,4,71,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00127","single bole tree",18.2,120.3,4,70,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00139","single bole tree",18,117.2,4,70,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00059","multi-bole tree",17.9,115.6,4,69,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00050","single bole tree",17.8,114,4,69,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00148","single bole tree",17.7,112.5,4,69,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00046","single bole tree",17.6,111,4,68,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00109","single bole tree",17.5,109.5,4,68,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00041","single bole tree",17.4,108,4,68,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00130","single bole tree",17.4,108,4,68,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00116","multi-bole tree",17.2,105,4,67,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00082","multi-bole tree",17.1,103.5,4,67,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00081","single bole tree",16.8,99.2,4,66,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00116A",NA,16.6,96.4,4,65,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00146","single bole tree",16.5,95,4,65,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00092","single bole tree",16.4,93.6,4,65,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00097","single bole tree",16.4,93.6,4,65,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00114","single bole tree",16.3,92.2,4,64,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00142","single bole tree",16.1,89.5,4,64,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00089","single bole tree",16,88.2,4,63,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00117","single bole tree",16,88.2,4,63,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00088","single bole tree",15.9,86.8,4,63,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00093","single bole tree",15.9,86.8,4,63,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00059A",NA,15.6,82.9,4,62,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00131","single bole tree",15.5,81.7,4,62,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00043","single bole tree",15.1,76.7,4,60,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00070","single bole tree",15.1,76.7,4,60,"76mm"
NA,"BONA","BONA_072",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00076","single bole tree",15.1,76.7,4,60,"76mm"
NA,"BONA","BONA_075",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00532","single bole tree",33.9,539.8,4,120,"76mm"
NA,"BONA","BONA_075",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00545","single bole tree",29.5,386,4,106,"76mm"
NA,"BONA","BONA_075",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00475","single bole tree",28.8,364.2,4,103,"76mm"
NA,"BONA","BONA_075",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00558","single bole tree",27.1,314.5,4,98,"76mm"
NA,"BONA","BONA_075",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00459","single bole tree",26.6,300.7,4,97,"76mm"
NA,"BONA","BONA_075",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00465","single bole tree",26.6,300.7,4,97,"76mm"
NA,"BONA","BONA_075",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00468","single bole tree",26.3,292.6,4,96,"76mm"
NA,"BONA","BONA_075",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00563","single bole tree",26.3,292.6,4,96,"76mm"
NA,"BONA","BONA_075",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00461","single bole tree",26.2,289.9,4,95,"76mm"
NA,"BONA","BONA_075",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00531","multi-bole tree",24,234.6,4,88,"76mm"
NA,"BONA","BONA_075",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00553","single bole tree",23.6,225.3,4,87,"76mm"
NA,"BONA","BONA_075",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00464","single bole tree",23.5,223,4,87,"76mm"
NA,"BONA","BONA_077",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.01835","single bole tree",24.3,241.7,4,89,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00435","single bole tree",28.7,361.2,4,103,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00453","single bole tree",28.5,355.1,4,103,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00702","single bole tree",27.2,317.3,4,98,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00729","single bole tree",25.9,281.9,4,94,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00439","single bole tree",25.2,263.9,4,92,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00395","single bole tree",24.7,251.4,4,91,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00719","single bole tree",22.7,205.1,4,84,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00430","single bole tree",22.5,200.7,4,84,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00397","single bole tree",22.1,192.2,4,82,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00725","single bole tree",22,190.1,4,82,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00418","single bole tree",20,151.1,4,76,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00711","single bole tree",19.5,142.1,4,74,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00704","single bole tree",19.1,135.2,4,73,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00400","single bole tree",18.9,131.8,4,72,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00732","single bole tree",18.9,131.8,4,72,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00701","single bole tree",18.8,130.1,4,72,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00438","single bole tree",18.1,118.7,4,70,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00424","single bole tree",18,117.2,4,70,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00709","single bole tree",17.8,114,4,69,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00419","single bole tree",17.6,111,4,68,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00724","single bole tree",17.5,109.5,4,68,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00715","single bole tree",17.3,106.5,4,67,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00433","single bole tree",16.9,100.6,4,66,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00705","single bole tree",16.7,97.8,4,65,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00721","single bole tree",16.7,97.8,4,65,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00357","single bole tree",15.9,86.8,4,63,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00427","single bole tree",15.9,86.8,4,63,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00706","single bole tree",15.6,82.9,4,62,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00426","single bole tree",15.3,79.1,4,61,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00710","single bole tree",15.3,79.1,4,61,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00398","single bole tree",15.1,76.7,4,60,"76mm"
NA,"BONA","BONA_078",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00728","single bole tree",15.1,76.7,4,60,"76mm"
NA,"BONA","BONA_079",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00693",NA,26.4,295.2,4,96,"76mm"
NA,"BONA","BONA_079",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00184","multi-bole tree",26.3,292.6,4,96,"76mm"
NA,"BONA","BONA_079",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00700","single bole tree",26.3,292.6,4,96,"76mm"
NA,"BONA","BONA_079",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00172","single bole tree",26.2,289.9,4,95,"76mm"
NA,"BONA","BONA_079",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00175","single bole tree",26.2,289.9,4,95,"76mm"
NA,"BONA","BONA_079",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00192","single bole tree",25.4,269,4,93,"76mm"
NA,"BONA","BONA_079",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00233","single bole tree",25.3,266.4,4,93,"76mm"
NA,"BONA","BONA_079",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00656","single bole tree",24.4,244.1,4,90,"76mm"
NA,"BONA","BONA_079",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00170","single bole tree",23.5,223,4,87,"76mm"
NA,"BONA","BONA_082",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.01136","single bole tree",33.1,509.6,4,117,"76mm"
NA,"BONA","BONA_082",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.01138","single bole tree",27.9,337.4,4,101,"76mm"
NA,"BONA","BONA_082",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.01131","single bole tree",26.2,289.9,4,95,"76mm"
NA,"BONA","BONA_082",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.01122","single bole tree",25.2,263.9,4,92,"76mm"
NA,"BONA","BONA_084",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00990","single bole tree",28.7,361.2,4,103,"76mm"
NA,"BONA","BONA_084",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00994","multi-bole tree",27.5,325.8,4,99,"76mm"
NA,"BONA","BONA_084",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.00988","multi-bole tree",25.9,281.9,4,94,"76mm"
NA,"BONA","BONA_084",NA,NA,NA,NA,NA,"NEON.PLA.D19.BONA.01207","single bole tree",25.3,266.4,4,93,"76mm"
